Reward: -2.222679748257539, Epsilon: 0.5562889678716474
Reward: 9.0, Epsilon: 0.5535075230322891
Reward: -5.0, Epsilon: 0.5507399854171277
Reward: -4.43890788666998, Epsilon: 0.547986285490042
Reward: -3.4502028759413577, Epsilon: 0.5452463540625918
Reward: 4.783775936095434, Epsilon: 0.5425201222922789
Reward: 8.0, Epsilon: 0.5398075216808175
Reward: 8.616025321959096, Epsilon: 0.5371084840724134
Reward: 8.0, Epsilon: 0.5344229416520513
Reward: 9.0, Epsilon: 0.531750826943791
Reward: 7.473581981118348, Epsilon: 0.5290920728090721
Reward: 7.523116790020836, Epsilon: 0.5264466124450268
Reward: 10.0, Epsilon: 0.5238143793828016
Reward: -2.0, Epsilon: 0.5211953074858876
Reward: 6.5227800609721225, Epsilon: 0.5185893309484582
Reward: 0.0, Epsilon: 0.5159963842937159
Reward: 7.259886859144631, Epsilon: 0.5134164023722473
Reward: 7.178486602547592, Epsilon: 0.510849320360386
Reward: 8.0, Epsilon: 0.5082950737585841
Reward: -1.3727708302065347, Epsilon: 0.5057535983897912
Reward: 6.2878969756123935, Epsilon: 0.5032248303978422
Reward: 8.24232670459421, Epsilon: 0.500708706245853
Reward: 8.616025321959096, Epsilon: 0.4982051627146237
Reward: -3.526741866985473, Epsilon: 0.49571413690105054
Reward: -0.3731847795304253, Epsilon: 0.4932355662165453
Reward: -1.0, Epsilon: 0.4907693883854626
Reward: 8.626730327147646, Epsilon: 0.4883155414435353
Reward: -2.0, Epsilon: 0.4858739637363176
Reward: 9.0, Epsilon: 0.483444593917636
Reward: 7.5390830167973055, Epsilon: 0.4810273709480478
Reward: 6.288401283800432, Epsilon: 0.47862223409330756
Reward: -1.379585246521927, Epsilon: 0.47622912292284103
Reward: 6.9129247053408625, Epsilon: 0.4738479773082268
Reward: 1.0, Epsilon: 0.47147873742168567
Reward: 8.54987582400383, Epsilon: 0.46912134373457726
Reward: -1.0, Epsilon: 0.46677573701590436
Reward: -0.38116369941996364, Epsilon: 0.46444185833082485
Reward: -1.0, Epsilon: 0.46211964903917074
Reward: 9.0, Epsilon: 0.4598090507939749
Reward: -5.0, Epsilon: 0.457510005540005
Reward: -2.0, Epsilon: 0.45522245551230495
Reward: 8.61564537938706, Epsilon: 0.4529463432347434
Reward: 0.0, Epsilon: 0.4506816115185697
Reward: -2.770237667994545, Epsilon: 0.4484282034609769
Reward: 7.244191178693448, Epsilon: 0.446186062443672
Reward: -2.318365851823218, Epsilon: 0.4439551321314536
Reward: -2.0, Epsilon: 0.4417353564707963
Reward: 9.0, Epsilon: 0.43952667968844233
Reward: -0.3820680009173332, Epsilon: 0.43732904629000013
Reward: -2.4478727755548864, Epsilon: 0.4351424010585501
Reward: 6.462083321254629, Epsilon: 0.43296668905325736
Reward: 7.0, Epsilon: 0.43080185560799106
Reward: -0.38116369941996364, Epsilon: 0.4286478463299511
Reward: -3.3855797039264495, Epsilon: 0.42650460709830135
Reward: 0.0, Epsilon: 0.42437208406280985
Reward: 7.460174028603178, Epsilon: 0.4222502236424958
Reward: -5.0, Epsilon: 0.42013897252428334
Reward: 0.0, Epsilon: 0.4180382776616619
Reward: -3.631866333536345, Epsilon: 0.4159480862733536
Reward: 0.0, Epsilon: 0.41386834584198684
Reward: -0.2999234896621239, Epsilon: 0.4117990041127769
Reward: -5.0, Epsilon: 0.40974000909221303
Reward: 8.297039320960742, Epsilon: 0.40769130904675194
Reward: 7.250792320216643, Epsilon: 0.40565285250151817
Reward: 8.617422832245097, Epsilon: 0.4036245882390106
Reward: 10.0, Epsilon: 0.4016064652978155
Reward: -1.0, Epsilon: 0.3995984329713264
Reward: 10.0, Epsilon: 0.3976004408064698
Reward: 8.616025321959096, Epsilon: 0.39561243860243744
Reward: 9.0, Epsilon: 0.3936343764094253
Reward: -1.2995522784933433, Epsilon: 0.39166620452737816
Reward: 9.0, Epsilon: 0.3897078735047413
Reward: -2.3703484906885626, Epsilon: 0.3877593341372176
Reward: 8.681207808883048, Epsilon: 0.3858205374665315
Reward: -2.676483789035384, Epsilon: 0.38389143477919885
Reward: 7.0, Epsilon: 0.3819719776053028
Reward: 0.0, Epsilon: 0.3800621177172763
Reward: 7.473312603910834, Epsilon: 0.37816180712868996
Reward: 9.0, Epsilon: 0.37627099809304654
Reward: 0.0, Epsilon: 0.3743896431025813
Reward: -1.3187193862696738, Epsilon: 0.37251769488706843
Reward: 0.0, Epsilon: 0.3706551064126331
Reward: -0.8412489806858243, Epsilon: 0.36880183088056995
Reward: 0.0, Epsilon: 0.3669578217261671
Reward: -1.3665747571641633, Epsilon: 0.36512303261753626
Reward: -1.3665747571641633, Epsilon: 0.3632974174544486
Reward: -1.0, Epsilon: 0.3614809303671764
Reward: 0.0, Epsilon: 0.3596735257153405
Reward: 9.0, Epsilon: 0.3578751580867638
Reward: 7.633113921418103, Epsilon: 0.35608578229633
Reward: 7.6185204663243455, Epsilon: 0.3543053533848483
Reward: 8.488254449585941, Epsilon: 0.35253382661792404
Reward: -1.0, Epsilon: 0.3507711574848344
Reward: 7.472860504706542, Epsilon: 0.34901730169741024
Reward: 9.0, Epsilon: 0.3472722151889232
Reward: 9.0, Epsilon: 0.3455358541129786
Reward: 2.0, Epsilon: 0.3438081748424137
Reward: -1.8408397203722444, Epsilon: 0.3420891339682016
Reward: 9.616017393305233, Epsilon: 0.3403786882983606
Reward: -1.0, Epsilon: 0.3386767948568688
Reward: -1.0, Epsilon: 0.33698341088258443
Reward: 9.0, Epsilon: 0.3352984938281715
Reward: 0.0, Epsilon: 0.33362200135903064
Reward: -0.3731847795304253, Epsilon: 0.33195389135223546
Reward: 7.472961504925692, Epsilon: 0.3302941218954743
Reward: -2.0, Epsilon: 0.32864265128599696
Reward: 9.0, Epsilon: 0.326999438029567
Reward: -5.0, Epsilon: 0.3253644408394192
Reward: 0.0, Epsilon: 0.3237376186352221
Reward: -2.0, Epsilon: 0.322118930542046
Reward: 6.976682872314328, Epsilon: 0.32050833588933575
Reward: 7.626732392925737, Epsilon: 0.31890579420988907
